,HHID,Droughts,Floods,Groundwater,Heat,Pests,Frost,Hail
0,2301006,-1.0,0.0,1.0,1.0,1.0,1.0,-1.0
1,2301007,-1.0,-1.0,-1.0,0.0,1.0,1.0,0.0
2,2301013,0.0,0.0,1.0,-1.0,1.0,-1.0,1.0
3,2301016,1.0,0.0,0.0,0.0,1.0,1.0,0.0
4,2301017,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0
5,2301021,1.0,0.0,-1.0,-1.0,1.0,1.0,-1.0
6,2301029,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0
7,2301037,0.0,0.0,-1.0,1.0,1.0,1.0,0.0
8,2301038,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0
9,2301041,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
10,2301043,0.0,1.0,1.0,-1.0,0.0,0.0,-1.0
11,2301044,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
12,2301046,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0
13,2301047,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0
14,2301048,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
15,2301053,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,2301056,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
17,2301057,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
18,2301058,-1.0,-1.0,1.0,0.0,1.0,-1.0,0.0
19,2301059,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
20,2301060,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0
21,2301068,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0
22,2301069,0.0,1.0,0.0,0.0,1.0,0.0,-1.0
23,2301070,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
24,2301071,0.0,1.0,0.0,0.0,1.0,0.0,-1.0
25,2301072,0.0,1.0,1.0,0.0,1.0,1.0,-1.0
26,2301073,1.0,1.0,1.0,-1.0,1.0,1.0,0.0
27,2301074,0.0,1.0,0.0,1.0,1.0,1.0,-1.0
28,2301075,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
29,2301086,1.0,0.0,0.0,0.0,1.0,-1.0,0.0
30,2301087,0.0,1.0,0.0,-1.0,1.0,-1.0,-1.0
31,2301092,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
32,2301093,-1.0,1.0,1.0,-1.0,1.0,1.0,0.0
33,2301094,0.0,1.0,0.0,1.0,1.0,1.0,-1.0
